evaluation,fold,official_delay_weeks,country,region,horizon,model,n,mean_abs_target_z_difference,max_abs_target_z_difference,mean_abs_mu_difference,mean_abs_sd_difference,mean_abs_quantile_z_difference
rolling_window_cv,1,0,JPN,national,1,bioepi_sgq_lstm_no_digital,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,1,gb_full_raw,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.044762882961789395
rolling_window_cv,1,0,JPN,national,1,persistence,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.04180922238405864
rolling_window_cv,1,0,JPN,national,1,ridge_global_open,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.05200366961391167
rolling_window_cv,1,0,JPN,national,1,ridge_google_wiki,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.05200366961391167
rolling_window_cv,1,0,JPN,national,1,ridge_no_digital,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.04272493688270652
rolling_window_cv,1,0,JPN,national,1,ridge_raw_cn_search,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.04272493707744777
rolling_window_cv,1,0,JPN,national,1,ridge_social_raw,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.04272493707744777
rolling_window_cv,1,0,JPN,national,1,seasonal_naive,101,0.03766607213245962,0.271511305533064,2002.2902212166919,2167.0734706744406,0.06409083891018151
rolling_window_cv,1,0,JPN,national,2,bioepi_sgq_lstm_full_raw,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,2,bioepi_sgq_lstm_no_digital,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,2,gb_full_raw,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.023962049408123635
rolling_window_cv,1,0,JPN,national,2,persistence,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.02348041403801058
rolling_window_cv,1,0,JPN,national,2,ridge_global_open,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.03066567484227741
rolling_window_cv,1,0,JPN,national,2,ridge_google_wiki,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.03066567484227741
rolling_window_cv,1,0,JPN,national,2,ridge_no_digital,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.02272529445948198
rolling_window_cv,1,0,JPN,national,2,ridge_raw_cn_search,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.02272529446855337
rolling_window_cv,1,0,JPN,national,2,ridge_social_raw,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.02272529446855337
rolling_window_cv,1,0,JPN,national,2,seasonal_naive,101,0.0191162412496544,0.10287789338987618,1000.3786000421678,748.8660205575799,0.028990358898192153
rolling_window_cv,1,0,JPN,national,3,bioepi_sgq_lstm_full_raw,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,3,bioepi_sgq_lstm_no_digital,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,3,gb_full_raw,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.015899387564728588
rolling_window_cv,1,0,JPN,national,3,persistence,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.01805268273993939
rolling_window_cv,1,0,JPN,national,3,ridge_global_open,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.02532820965238515
rolling_window_cv,1,0,JPN,national,3,ridge_google_wiki,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.02532820965238515
rolling_window_cv,1,0,JPN,national,3,ridge_no_digital,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.013103913016516717
rolling_window_cv,1,0,JPN,national,3,ridge_raw_cn_search,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.013103913076405039
rolling_window_cv,1,0,JPN,national,3,ridge_social_raw,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.013103913076405039
rolling_window_cv,1,0,JPN,national,3,seasonal_naive,101,0.012331789294419864,0.11852595090156814,92.06434088787137,1021.3516318398689,0.022884754825583914
rolling_window_cv,1,0,JPN,national,4,bioepi_sgq_lstm_full_raw,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,4,bioepi_sgq_lstm_no_digital,101,1.0167884136418513e-17,2.220446049250313e-16,0.0,0.0,0.0
rolling_window_cv,1,0,JPN,national,4,gb_full_raw,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.032749580451447886
rolling_window_cv,1,0,JPN,national,4,persistence,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.03574808152336417
rolling_window_cv,1,0,JPN,national,4,ridge_global_open,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.05705245503442241
rolling_window_cv,1,0,JPN,national,4,ridge_google_wiki,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.05705245503442241
rolling_window_cv,1,0,JPN,national,4,ridge_no_digital,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.028986610969500254
rolling_window_cv,1,0,JPN,national,4,ridge_raw_cn_search,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.028986610705942783
rolling_window_cv,1,0,JPN,national,4,ridge_social_raw,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.028986610705942783
rolling_window_cv,1,0,JPN,national,4,seasonal_naive,101,0.013296092005510882,0.1767860613842811,865.7026143790863,1855.6943227172233,0.03992475167118486
rolling_window_cv,1,0,USA,hhs1,1,bioepi_sgq_lstm_full_raw,101,3.678987807467644e-17,4.440892098500626e-16,0.0,0.0,0.0
rolling_window_cv,1,0,USA,hhs1,1,bioepi_sgq_lstm_no_digital,101,3.678987807467644e-17,4.440892098500626e-16,0.0,0.0,0.0
rolling_window_cv,1,0,USA,hhs1,1,gb_full_raw,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.07119354628337743
rolling_window_cv,1,0,USA,hhs1,1,persistence,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.10047570671532617
rolling_window_cv,1,0,USA,hhs1,1,ridge_global_open,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.08600040720840355
rolling_window_cv,1,0,USA,hhs1,1,ridge_google_wiki,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.08471157209916129
rolling_window_cv,1,0,USA,hhs1,1,ridge_no_digital,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.07521062153716453
rolling_window_cv,1,0,USA,hhs1,1,ridge_raw_cn_search,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.0752106235496194
rolling_window_cv,1,0,USA,hhs1,1,ridge_social_raw,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.08388176553221595
rolling_window_cv,1,0,USA,hhs1,1,seasonal_naive,101,0.09267718469162155,0.4185406589763456,0.03616994846656585,0.038422286809920325,0.09538497448519118
rolling_window_cv,1,0,USA,hhs1,2,bioepi_sgq_lstm_full_raw,101,3.2392955204873844e-17,4.440892098500626e-16,0.0,0.0,0.0
rolling_window_cv,1,0,USA,hhs1,2,bioepi_sgq_lstm_no_digital,101,3.2392955204873844e-17,4.440892098500626e-16,0.0,0.0,0.0
rolling_window_cv,1,0,USA,hhs1,2,gb_full_raw,101,0.0733499990053516,0.3517606939978819,0.02678560520767426,0.0324862614704301,0.0630195841691264
