period,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
post_covid_2023_2026,0,bioepi_safe_lstm_common_scale,1,0.15482647617116277,0.2508833281959311,0.4165648196561708,0.9375488948486465,0.9209459703024847,0.5599098926625059,0.8489854367467609,0.953954799555845,0.2984250313261255,0.7239370832112955,1.5620067660605825,499.0,3,4,0.19790722877319114,0.7823184485524757,21.768155144752434
post_covid_2023_2026,0,bioepi_safe_lstm_common_scale,2,0.2636157096088915,0.4087838206519907,0.6494244994233721,0.8432124859861635,0.8552382220556328,0.537564578278864,0.741029526029526,0.9233459794174079,0.4685816315153298,0.9951598340351531,3.539614810156801,499.0,3,4,0.3326065607660787,0.7925751945533382,20.742480544666176
post_covid_2023_2026,0,bioepi_safe_lstm_common_scale,3,0.35691812451743865,0.5336200815958586,0.8471801278903662,0.7047978865229569,0.7922068023211737,0.5440491010466093,0.7435168421464103,0.900036229458987,0.6013131279715995,1.3116752443791013,4.682095556006849,499.0,3,4,0.43994479337872766,0.8112793466115298,18.872065338847023
post_covid_2023_2026,0,bioepi_safe_lstm_common_scale,4,0.4271668321625511,0.6230567050196142,0.9966686084102591,0.6025402040051241,0.7092601092169039,0.569922830792396,0.7674553707162403,0.9186021018319156,0.6726779270436225,1.8994464545674212,4.9833681711906195,499.0,3,4,0.5351663457468475,0.7981944970146087,20.180550298539135
post_covid_2023_2026,0,bioepi_sgq_lstm_full_raw,1,0.16902426753187147,0.26664520247572393,0.42566681063858086,0.9339228160839709,0.9094587128966943,0.43552063499798693,0.7275350230489602,0.8999180987421406,0.25071618846829374,0.5574982864521458,1.1017302185666296,499.0,3,4,0.19790722877319114,0.8540580785231419,14.594192147685813
post_covid_2023_2026,0,bioepi_sgq_lstm_full_raw,2,0.28786008684513054,0.4393124745662001,0.6740278166246586,0.8353491371735781,0.842990572928899,0.4200162139447854,0.7006702820988536,0.885167451596023,0.347941582018374,0.9668425515028095,3.2754933048244532,499.0,3,4,0.3326065607660787,0.8654672541098243,13.453274589017571
post_covid_2023_2026,0,bioepi_sgq_lstm_full_raw,3,0.3782005332083063,0.5589983942887404,0.8736902816021009,0.6937688657188085,0.7822035191587577,0.44996168698411226,0.6891671566713095,0.9014748863170791,0.5111721254717213,1.0828889833417759,4.557195975544825,499.0,3,4,0.43994479337872766,0.8596545268868119,14.034547311318812
post_covid_2023_2026,0,bioepi_sgq_lstm_full_raw,4,0.47833013999873897,0.6940836029515771,1.0726071876719605,0.5579845965348563,0.6967831175636413,0.4379527046452512,0.7279899189837078,0.8977942347507565,0.5860080301690285,1.7297880448756133,5.029457469789603,499.0,3,4,0.5351663457468475,0.8937971227080971,10.620287729190292
post_covid_2023_2026,0,bioepi_sgq_lstm_no_digital,1,0.16467059114002927,0.2568438505883395,0.4246051756338634,0.9377099445927349,0.9187457432929397,0.552030721891349,0.8273903071376939,0.933004205434519,0.30252869595938453,0.7186555750710265,1.238733255423988,499.0,3,4,0.19790722877319114,0.8320595066729358,16.794049332706418
post_covid_2023_2026,0,bioepi_sgq_lstm_no_digital,2,0.2781963781645708,0.42549232493031774,0.6716001663299566,0.8391015936596301,0.83727739568585,0.535827862613577,0.721263775906633,0.9107269317983603,0.4840238565100731,0.9041670722997148,3.3392529644427373,499.0,3,4,0.3326065607660787,0.8364127800841115,16.358721991588855
