model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries,n_test_seasons
bioepi_safe_lstm_common_scale__no_china_local_search,3,0.34590423495768285,0.5238119159964892,0.8369936809004405,0.7126969006564515,0.7519799269171612,0.5138011689187119,0.7522593116594994,0.8955422390696116,0.600689384046532,1.1577436113712312,3.074993765827655,1104.0,3,8
bioepi_safe_lstm_common_scale__no_china_local_search,4,0.4128666038942035,0.6218183307611761,0.9775470669897167,0.6106562383735957,0.6499060180799732,0.5034722816865674,0.7810123011908726,0.8947994664066092,0.7156194660885271,1.6111755853636545,3.3452639478260093,1104.0,3,8
bioepi_safe_lstm_common_scale__no_full_lstm_expert,1,0.16593463627047733,0.26756924115142094,0.4413902246130918,0.9110194495492281,0.8838916224181257,0.5128339720674215,0.8105725413282033,0.9424906563626076,0.3004678744855624,0.6467906895517627,1.4337244809899419,1104.0,3,8
bioepi_safe_lstm_common_scale__no_full_lstm_expert,2,0.2603867972670851,0.41146533735433893,0.6592011533175554,0.818097524866174,0.7905764410604403,0.48119603567584934,0.7582002469580109,0.9277964008903449,0.4908368747130962,0.9257286168480202,2.431365417945079,1104.0,3,8
bioepi_safe_lstm_common_scale__no_full_lstm_expert,3,0.3396046645007231,0.5153891773186879,0.8237734358954173,0.716833829117125,0.7498117897564768,0.5387005036587948,0.7557152217516222,0.8940583270790551,0.6138204357712839,1.1952334947652759,3.1043679942692535,1104.0,3,8
bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.4065493702201961,0.6110816176323665,0.966600428083424,0.6131102473812787,0.6578395714091019,0.5158289726146869,0.7804193227407513,0.8898786134500419,0.7236210801503193,1.5919169782981228,3.300850714500292,1104.0,3,8
bioepi_safe_lstm_common_scale__no_google_wiki,1,0.16596128274106872,0.2685200680350048,0.4425685251826153,0.9110335276761153,0.8834530687092214,0.5228914436318618,0.8111758520708868,0.9428619821912504,0.30110892049569243,0.6339835914986182,1.3987476719990735,1104.0,3,8
bioepi_safe_lstm_common_scale__no_google_wiki,2,0.2603591674691422,0.41192958953749553,0.6593591508203688,0.8158450966122911,0.7854242712788283,0.47011253584234947,0.7459324155830367,0.922611942491601,0.48210899330399754,0.9128895205961464,2.378950276076976,1104.0,3,8
bioepi_safe_lstm_common_scale__no_google_wiki,3,0.3402508493124641,0.5150011522917289,0.8250411747217031,0.7152237110437355,0.7470374141020075,0.5085989047665705,0.7543672424883604,0.8923050595824321,0.6042073649816505,1.1697370802681721,3.0267058132920384,1104.0,3,8
bioepi_safe_lstm_common_scale__no_google_wiki,4,0.4044316074959193,0.6090762456074726,0.9598124777464846,0.6164504324091915,0.6610234615341026,0.49813666492237924,0.7771418264275408,0.8913830613830614,0.7186866076538294,1.5894292241683263,3.261899131052328,1104.0,3,8
bioepi_safe_lstm_common_scale__no_gradient_boosting,1,0.16485457927787853,0.26733674330461454,0.44129514373179224,0.9114227718117407,0.8847571414757386,0.5188958474258997,0.8137112829098893,0.9403449753885295,0.29838129722653506,0.6297111221820604,1.3517137161660828,1104.0,3,8
bioepi_safe_lstm_common_scale__no_gradient_boosting,2,0.2604107378308256,0.4141684644522789,0.6623828624372436,0.8156294149116307,0.7945355072884848,0.4752524959512537,0.742468962197223,0.9284880108676692,0.47350222125484076,0.904736254026047,2.414467057619136,1104.0,3,8
bioepi_safe_lstm_common_scale__no_gradient_boosting,3,0.3409711801884976,0.5182447192750816,0.8273039750202202,0.7126079107144739,0.7570754330211211,0.5240208201086795,0.7457386580990871,0.8953667906916137,0.6127549726350404,1.166317582605483,3.030766754602593,1104.0,3,8
bioepi_safe_lstm_common_scale__no_gradient_boosting,4,0.40779216966382387,0.6168313758515085,0.965815342733998,0.6173665953970202,0.6686802860848279,0.514584324405753,0.7744205199562342,0.8906798955013241,0.7191342426123608,1.5232177087671825,3.225939147985391,1104.0,3,8
bioepi_safe_lstm_common_scale__no_social,1,0.16512070794583403,0.26771197297630656,0.4408482143003203,0.9115446722134418,0.8840053590437417,0.5191922566399918,0.8138587789001552,0.9448945025164538,0.29978740444016844,0.6333151585135257,1.4135628009996644,1104.0,3,8
bioepi_safe_lstm_common_scale__no_social,2,0.25859410204319105,0.4091969035545566,0.6577079936982319,0.8164364541620386,0.7925454305663387,0.4812541719839856,0.7570740517246728,0.9276867288163873,0.48784635233542234,0.9234620956407614,2.4036157515251104,1104.0,3,8
bioepi_safe_lstm_common_scale__no_social,3,0.3387920796648652,0.5143827809644731,0.8219388566416391,0.7174287118170414,0.7546487482265579,0.5110425403836859,0.7545670039671917,0.8947409570183296,0.6090669899010311,1.178538256384306,3.060749116462056,1104.0,3,8
