model_A,model_B,comparison,country_filter,official_delay_weeks,horizon,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs,denominator_WIS,WIS_reduction_pct,ci_low_reduction_pct,ci_high_reduction_pct,reduction_denominator
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,4,8,-0.0065180596842327534,-0.01770510117878966,0.005328738249051567,0.7,1104,0.41178960647380686,1.5828616317073934,-1.2940438916567258,4.299550280154011,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,0,4,13,-0.0065180596842327534,-0.02530870674864471,0.011286990479249836,0.7,1104,0.41178960647380686,1.5828616317073934,-2.7409605055118798,6.1460285424310594,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,1,4,-0.015511553259143676,-0.026594009335240275,-0.0052550788976369455,1.0,196,0.2594471584473999,5.97869460277341,2.0254910206319936,10.25026039768014,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,1,8,-0.015511553259143676,-0.03157705650681073,-0.006656847186566688,1.0,196,0.2594471584473999,5.97869460277341,2.5657814972432202,12.170900886244485,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,1,13,-0.015511553259143676,-0.031059204962205357,-0.006732260929858935,1.0,196,0.2594471584473999,5.97869460277341,2.5948485888789676,11.971302807119498,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,2,4,-0.016094278708444196,-0.03387916492817846,-0.006073578927554857,1.0,196,0.3307708769022402,4.8656879526914585,1.8361891422955932,10.242487260506763,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,2,8,-0.016094278708444196,-0.033616137044102365,0.00029018453119399826,0.9,196,0.3307708769022402,4.8656879526914585,-0.08772977050206349,10.162967598274276,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,2,13,-0.016094278708444196,-0.026371598861127783,0.0008611710072264364,0.9,196,0.3307708769022402,4.8656879526914585,-0.26035272974801726,7.972769280084457,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,3,4,-0.022808966868798086,-0.041400659037559295,-0.004476444754650226,1.0,196,0.3872508566499855,5.889971959290936,1.155954771378656,10.69091477181135,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,3,8,-0.022808966868798086,-0.04016920203998223,0.001344099142755233,0.9,196,0.3872508566499855,5.889971959290936,-0.34708745498530674,10.372914959433889,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,3,13,-0.022808966868798086,-0.04298725272493327,-0.0002825077938076121,0.9,196,0.3872508566499855,5.889971959290936,0.07295214173353144,11.100621725360586,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,4,4,-0.0243420381234792,-0.04973789821961699,-0.004957047376783454,1.0,196,0.432052589141171,5.634045191550873,1.1473250019487244,11.512000962310026,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,4,8,-0.0243420381234792,-0.056093192065272676,0.0007440393935385491,0.9,196,0.432052589141171,5.634045191550873,-0.17221037721763036,12.982954731685338,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,1,4,13,-0.0243420381234792,-0.0578698137680004,0.003866819010231141,0.9,196,0.432052589141171,5.634045191550873,-0.8949880425245357,13.394159697788949,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,1,4,-0.02921585308417639,-0.050991305593394556,-0.0099936540604659,1.0,196,0.3373548579068193,8.660273418160202,2.9623566479739996,15.11503522130363,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,1,8,-0.02921585308417639,-0.05671818264159446,-0.009230299741763641,1.0,196,0.3373548579068193,8.660273418160202,2.7360802802825326,16.812617726483303,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,1,13,-0.02921585308417639,-0.049702071252380374,0.006572616992673475,0.8,196,0.3373548579068193,8.660273418160202,-1.9482799309470435,14.732875512973514,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,2,4,-0.02722013340547715,-0.05669470270380121,-0.02046322265948794,1.0,196,0.3986670749784804,6.827785667262956,5.132910125721448,14.221064708406514,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,2,8,-0.02722013340547715,-0.06125438956773704,-0.014798020457484093,1.0,196,0.3986670749784804,6.827785667262956,3.7118742394974236,15.364797700197208,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,2,13,-0.02722013340547715,-0.04906847793776387,-0.01176965737451332,1.0,196,0.3986670749784804,6.827785667262956,2.9522521705983955,12.308134033996295,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,3,4,-0.017168235703849438,-0.04756813013341013,-0.002206053301801962,1.0,196,0.4251044310221787,4.0385925083320835,0.5189438502199162,11.189751661499004,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,3,8,-0.017168235703849438,-0.04075346769365341,0.014398879911829842,0.5,196,0.4251044310221787,4.0385925083320835,-3.3871394558761065,9.586695578698215,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,3,13,-0.017168235703849438,-0.03393965140439162,0.013901102197614463,0.6,196,0.4251044310221787,4.0385925083320835,-3.2700440605120886,7.9838385412221,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,4,4,-0.017813473551771458,-0.03769716242045609,-0.01024055495047947,1.0,196,0.4607438277921621,3.8662424708176393,2.2226135940987373,8.181805191205076,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,4,8,-0.017813473551771458,-0.04113353969505174,-0.010204798733188187,1.0,196,0.4607438277921621,3.8662424708176393,2.2148530523107715,8.927637705351259,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,SAFE-LSTM vs Surv-LSTM,all,2,4,13,-0.017813473551771458,-0.051996981444564466,0.010560154688870733,0.7,196,0.4607438277921621,3.8662424708176393,-2.291979632038464,11.285442866099531,surveillance
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,1,4,-0.0069168334783369515,-0.00989335034457231,-0.003131572780664855,1.0,1104,0.17205935324260388,4.02002759395719,1.820053790536649,5.7499636945761825,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,1,8,-0.0069168334783369515,-0.008134548539657182,-0.0009925319490103235,1.0,1104,0.17205935324260388,4.02002759395719,0.5768543995459825,4.727757245598534,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,1,13,-0.0069168334783369515,-0.011281968706569,-0.004404150295043113,1.0,1104,0.17205935324260388,4.02002759395719,2.5596692141654493,6.557021454486935,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,2,4,-0.020493940460856477,-0.03285630499492747,-0.01689314218093491,1.0,1104,0.280761914860388,7.299401869034594,6.016892351419962,11.702550544031457,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,2,8,-0.020493940460856477,-0.04203177605520452,-0.006413187010638125,1.0,1104,0.280761914860388,7.299401869034594,2.284208317152686,14.970611692866282,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,2,13,-0.020493940460856477,-0.03252539482417742,-0.005697787001572828,1.0,1104,0.280761914860388,7.299401869034594,2.029401674513481,11.584689055975073,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,3,4,-0.01754659021831489,-0.028070589211044633,-0.0036898958898526953,1.0,1104,0.35567551378220913,4.933314085000296,1.037433207199113,7.892190528536948,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,3,8,-0.01754659021831489,-0.022938707692969823,-0.00697370191668917,1.0,1104,0.35567551378220913,4.933314085000296,1.9606921608214443,6.449335645583937,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,3,13,-0.01754659021831489,-0.030118871200097704,-0.005274549129874471,1.0,1104,0.35567551378220913,4.933314085000296,1.482966615774466,8.468075544424574,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,4,4,-0.02730246842571959,-0.04179028431971669,-0.011642537052041402,1.0,1104,0.4326972821241503,6.309831273191569,2.690688740841433,9.658088008911076,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,4,8,-0.02730246842571959,-0.0383799394062002,-0.011053565431654576,1.0,1104,0.4326972821241503,6.309831273191569,2.554572420097399,8.869928467724499,full_digital
bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,SAFE-LSTM vs Full-digital LSTM,all,0,4,13,-0.02730246842571959,-0.04825864917568788,-0.006041610231405198,1.0,1104,0.4326972821241503,6.309831273191569,1.3962672013437163,11.1529818118528,full_digital
bioepi_safe_lstm_common_scale,gb_full_raw,SAFE-LSTM vs GB expert,all,0,1,4,-0.1426879040980988,-0.17419551378229287,-0.1278922083586743,1.0,1104,0.30687910087559184,46.49645534380792,41.6751117928104,56.7635636591986,gb_expert
bioepi_safe_lstm_common_scale,gb_full_raw,SAFE-LSTM vs GB expert,all,0,1,8,-0.1426879040980988,-0.16516685424062091,-0.12512139749507123,1.0,1104,0.30687910087559184,46.49645534380792,40.77221196818977,53.82147359313961,gb_expert
bioepi_safe_lstm_common_scale,gb_full_raw,SAFE-LSTM vs GB expert,all,0,1,13,-0.1426879040980988,-0.1496113031220842,-0.11736508463386351,1.0,1104,0.30687910087559184,46.49645534380792,38.2447303511369,48.75252263683356,gb_expert
