evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,CHN,62.0,0.3558700569195237,0.5880280862465858,0.9193269381566992,0.7194258809215462,0.7277535051002462,0.4516129032258064,0.8548387096774194,0.8548387096774194,0.9116585635534302,1.7576584270004134,2.590972075365693
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,JPN,67.0,0.4123928780864056,0.6560162952445233,1.1392775232075925,0.5721072332865126,0.7867933227487502,0.4626865671641791,0.6865671641791045,0.9850746268656716,0.4381827961362297,0.8546272583907568,4.383163855525865
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,67.0,0.2540875044977401,0.4116243772076433,0.6518795097739947,0.8693094014329573,0.9462447122675396,0.2835820895522388,0.5373134328358209,0.8208955223880597,0.3423816290681373,0.6767700602196658,1.205120603775661
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,CHN,62.0,0.4419850955563986,0.6840726375841375,1.0938366126381036,0.5843858102484293,0.7449568124031223,0.4354838709677419,0.8387096774193549,0.8709677419354839,0.9836680153090684,1.959818704457496,3.0208102938175245
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,JPN,67.0,0.504096266725325,0.7517150825683401,1.308786253817888,0.3999427073627697,0.7169476569425299,0.5970149253731343,0.6567164179104478,1.0,0.5471076794942591,1.0135025516880984,6.55751854105335
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,67.0,0.2862953723145475,0.4951253624294064,0.7309101444071276,0.8282062749238422,0.9272487828238488,0.2686567164179104,0.582089552238806,0.9552238805970148,0.4492997209700102,0.8774832058261105,2.548315239300875
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,CHN,62.0,0.1581401813390982,0.2642480337817341,0.4103662975608223,0.9482875983407134,0.8091970249111049,0.6612903225806451,0.9032258064516128,0.967741935483871,0.4953923370441289,0.9200263593057968,1.7306945585465527
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,JPN,67.0,0.1986257873786603,0.2989970488977521,0.6165183241764529,0.8864393945026088,0.9610503631574748,0.5522388059701493,0.7611940298507462,0.8955223880597015,0.2884458859783307,0.5817015061112761,0.9320092568899716
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,1,USA,67.0,0.1162168438663369,0.2092645833287413,0.3652566511321738,0.9630390313826432,0.9846755527176952,0.5074626865671642,0.8208955223880597,0.9552238805970148,0.2431662027237575,0.49748203835464,0.9662018489481796
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,CHN,62.0,0.2274889120665019,0.4069699335399442,0.6002402885899387,0.8890446045817035,0.7597365818348751,0.6612903225806451,0.8387096774193549,0.9838709677419356,0.7984770854895452,1.2403389738202126,2.3470150717904525
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,JPN,67.0,0.3059951955483634,0.4861894346993545,0.8270638461578079,0.7880577792549928,0.7682253993657879,0.6268656716417911,0.7164179104477612,0.8805970149253731,0.5666206498058255,0.6947704846853571,1.9325794793299376
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,2,USA,67.0,0.201298642661305,0.3318220429864671,0.6001684157401744,0.8967285013661465,0.9657594381035998,0.3283582089552239,0.7014925373134329,0.9104477611940298,0.3006842723356194,0.6965145733485472,1.239959305441424
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,CHN,62.0,0.3018496567828664,0.5148702042119039,0.7520389831079268,0.8227218930660888,0.7954216367427253,0.7580645161290323,0.8387096774193549,0.8870967741935484,1.2336141965191207,1.5938610866294751,2.369593516592794
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,JPN,67.0,0.4203741774868572,0.6680815422155165,1.1477215649397357,0.5786075974749109,0.7329129369364484,0.5223880597014925,0.6716417910447762,0.9850746268656716,0.341515159337623,0.9020481257928264,4.3515043271351805
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,3,USA,67.0,0.2663751538264857,0.4554021466399751,0.730781644752541,0.8492702608701251,0.9516322132652248,0.2985074626865671,0.5522388059701493,0.7910447761194029,0.3800594459671846,0.7725002299632822,1.4270382004664908
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,CHN,62.0,0.3648276203170736,0.6294062171675898,0.9227362953953224,0.7370456353029167,0.7900873941416753,0.6774193548387096,0.8387096774193549,0.8870967741935484,1.2615404319551866,1.8785602358082003,2.7236272964293
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,JPN,67.0,0.4947460134222978,0.7459257911141339,1.3044772258090638,0.383108379715611,0.5853448347620049,0.5970149253731343,0.6567164179104478,1.0,0.5350467369285337,0.7853359394904552,6.139641307557887
temporal_external_2025_2026,0,bioepi_sgq_lstm_no_digital,4,USA,67.0,0.2969824049340016,0.5003027009608244,0.7836591280434207,0.8258418180535801,0.938343044137601,0.3432835820895522,0.5074626865671642,0.9104477611940298,0.4549156262289609,0.8705661793253315,2.0332757964194834
temporal_external_2025_2026,0,persistence,1,CHN,62.0,0.2164278782325668,0.3257718183671559,0.5162843314967246,0.917280766280006,0.7956102352289327,0.4838709677419355,0.8064516129032258,0.8548387096774194,0.2829729119033322,0.9270999198982424,1.6021248934109875
temporal_external_2025_2026,0,persistence,1,JPN,67.0,0.2268475058757547,0.3214245503405366,0.6487298504454065,0.8825160235661933,0.9711469391012852,0.2985074626865671,0.7313432835820896,0.9850746268656716,0.0260449798702554,0.6889524467449432,3.256017563994716
temporal_external_2025_2026,0,persistence,1,USA,67.0,0.1739348534531919,0.264743143881169,0.4165447163401691,0.9533618393358274,0.9782504589352704,0.3582089552238806,0.6417910447761194,0.9552238805970148,0.1733046897402921,0.4600694666775187,2.3928440538724125
temporal_external_2025_2026,0,persistence,2,CHN,62.0,0.3588478392332547,0.5385933396706966,0.8551899298750798,0.773073665804845,0.6755402206215686,0.4838709677419355,0.7258064516129032,0.8870967741935484,0.4958637474941572,1.0065126753724194,2.88373631281279
temporal_external_2025_2026,0,persistence,2,JPN,67.0,0.3571378162388658,0.5259076608241086,0.888140827746098,0.7692368075388543,0.92517359725437,0.3134328358208955,0.7164179104477612,1.0,0.0448469262505476,1.0533967006943885,5.621953877708594
temporal_external_2025_2026,0,persistence,2,USA,67.0,0.3063159280637391,0.4724861167386806,0.730622015838255,0.8546719421657605,0.9372655439380638,0.2985074626865671,0.582089552238806,0.9701492537313432,0.2798054335893573,0.7526465069780229,3.5927642434529683
temporal_external_2025_2026,0,persistence,3,CHN,62.0,0.4627534791786806,0.6741667537302013,1.1222664303864605,0.5999176544854264,0.6135218858610791,0.5806451612903226,0.7258064516129032,0.8709677419354839,0.6786721824036691,1.1459992062325202,3.760865482566401
temporal_external_2025_2026,0,persistence,3,JPN,67.0,0.4952390905099735,0.7246676481841763,1.2169939351903254,0.5428777618443686,0.8539388618405301,0.3283582089552239,0.6567164179104478,1.0,0.0609356917934063,1.114145029727355,6.670657569200468
temporal_external_2025_2026,0,persistence,3,USA,67.0,0.3983456047042242,0.6291258022768257,0.9349533592094652,0.7614245839511422,0.8857849788490704,0.2985074626865671,0.5970149253731343,0.9701492537313432,0.3847027562257581,1.0542523872540608,4.07280264042759
temporal_external_2025_2026,0,persistence,4,CHN,62.0,0.5645824502161024,0.826946106640928,1.3508496307445463,0.4151389217585092,0.5368660986843239,0.4838709677419355,0.6935483870967742,0.8870967741935484,0.6994984597984246,1.4386660193963805,4.069802029419253
temporal_external_2025_2026,0,persistence,4,JPN,67.0,0.5919849104471605,0.8737397784367485,1.430250747672425,0.3575284423232516,0.7767180142070397,0.3283582089552239,0.6268656716417911,1.0,0.0781280924666968,1.2233947302941468,7.105178568988429
temporal_external_2025_2026,0,persistence,4,USA,67.0,0.4650753546611576,0.7599560683621566,1.0733491032732518,0.6847392687124287,0.8258839492377684,0.2686567164179104,0.5970149253731343,0.9701492537313432,0.4874655118149892,1.3354072824109926,4.21891002946618
