evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.0401762620471163,-0.1243551283835965,0.0287903661799893,0.877,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.0401762620471163,-0.1329751306286994,0.0263323409463755,0.869,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,4,-0.2057383456082985,-0.3271751478331677,-0.1105318711669311,1.0,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,8,-0.2057383456082985,-0.3567218353609496,-0.0818316132105281,0.9995,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,persistence,13,-0.2057383456082985,-0.3667709347865446,-0.0707872228852346,1.0,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.022866413830511,-0.1160126164551514,0.0620589198722692,0.7065,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.022866413830511,-0.1070113506522903,0.0643018436122513,0.627,196
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.022866413830511,-0.0919717003336866,0.074377081396297,0.5455,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.0292158530841763,-0.0560251757142142,-0.0092126880584768,0.9985,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0292158530841763,-0.0600173472727362,-0.0041315352657635,0.9945,196
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.0292158530841763,-0.0599160518532913,0.0008781870360147,0.967,196
