evaluation,official_delay_weeks,model,horizon,WIS,activity
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,1,0.3164961459306958,all
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,2,0.37872756129150886,all
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,3,0.4176294866519097,all
temporal_external_2025_2026,2,bioepi_safe_lstm_common_scale,4,0.4528639075075896,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,1,0.3479987960615388,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,2,0.4061342683462787,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,3,0.43489866404846095,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_full_raw,4,0.48153417751105193,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,1,0.3457119990148722,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,2,0.405947694696986,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,3,0.43479772235575914,all
temporal_external_2025_2026,2,bioepi_sgq_lstm_no_digital,4,0.47067738105936113,all
temporal_external_2025_2026,2,gb_full_raw,1,0.32195909537241924,all
temporal_external_2025_2026,2,gb_full_raw,2,0.38521017421353476,all
temporal_external_2025_2026,2,gb_full_raw,3,0.42749879266471175,all
temporal_external_2025_2026,2,gb_full_raw,4,0.47020272167665683,all
temporal_external_2025_2026,2,persistence,1,0.48355072343031075,all
temporal_external_2025_2026,2,persistence,2,0.5762765303125255,all
temporal_external_2025_2026,2,persistence,3,0.6378779513046245,all
temporal_external_2025_2026,2,persistence,4,0.6896228162982029,all
temporal_external_2025_2026,2,ridge_global_open,1,0.4139153240304983,all
temporal_external_2025_2026,2,ridge_global_open,2,0.5289312164657919,all
temporal_external_2025_2026,2,ridge_global_open,3,0.5942118118180569,all
temporal_external_2025_2026,2,ridge_global_open,4,0.5984627777900139,all
temporal_external_2025_2026,2,ridge_google_wiki,1,0.4007371550332097,all
temporal_external_2025_2026,2,ridge_google_wiki,2,0.4628246328083234,all
temporal_external_2025_2026,2,ridge_google_wiki,3,0.4785580685971384,all
temporal_external_2025_2026,2,ridge_google_wiki,4,0.4861085890054022,all
temporal_external_2025_2026,2,ridge_no_digital,1,0.4077603605430857,all
temporal_external_2025_2026,2,ridge_no_digital,2,0.4535935981660287,all
temporal_external_2025_2026,2,ridge_no_digital,3,0.45667359417435716,all
temporal_external_2025_2026,2,ridge_no_digital,4,0.45929627246641536,all
temporal_external_2025_2026,2,ridge_raw_cn_search,1,0.3414017088390006,all
temporal_external_2025_2026,2,ridge_raw_cn_search,2,0.3867113528670345,all
temporal_external_2025_2026,2,ridge_raw_cn_search,3,0.40339062234373246,all
temporal_external_2025_2026,2,ridge_raw_cn_search,4,0.4189116809815035,all
temporal_external_2025_2026,2,ridge_social_raw,1,0.4225098927387279,all
temporal_external_2025_2026,2,ridge_social_raw,2,0.5332121838434585,all
temporal_external_2025_2026,2,ridge_social_raw,3,0.6017625003771011,all
temporal_external_2025_2026,2,ridge_social_raw,4,0.6201963901973105,all
temporal_external_2025_2026,2,seasonal_naive,1,0.4909824956064826,all
temporal_external_2025_2026,2,seasonal_naive,2,0.48454797947273676,all
temporal_external_2025_2026,2,seasonal_naive,3,0.4828503859194569,all
temporal_external_2025_2026,2,seasonal_naive,4,0.48730619825808086,all
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,0.18369508367364237,high
