evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
temporal_external_2025_2026,0,ridge_global_open,1,0.27165543769966727,0.44705189956957214,0.6574669319815452,0.8906154652570788,0.8624337488837981,0.35503129513721715,0.6691622532498797,0.9026600866634569,0.48665901408123013,0.9671554219472269,1.934925013324958,794.0,2
temporal_external_2025_2026,0,ridge_global_open,2,0.5222618707644315,0.8423439921620892,1.141226255006973,0.6956366870815291,0.7258055524882414,0.3656355320173327,0.572568608570053,0.7714251324025037,0.9403288860533566,1.5689192222669492,2.9490046328367185,794.0,2
temporal_external_2025_2026,0,ridge_global_open,3,0.6363788792855392,1.0468701759368864,1.3187608392646117,0.6141927997904286,0.6590759259407253,0.39205584978334135,0.5389744824265768,0.7351588830043332,1.2906893708873612,1.95684193876387,3.4156166018230696,794.0,2
temporal_external_2025_2026,0,ridge_global_open,4,0.6546643615318497,1.1041926681752066,1.368869737387207,0.5678874435534562,0.6378430791509145,0.377130476649013,0.5528526721232547,0.7415743861338469,1.4363294547937633,2.1464253434819236,3.7053249873017746,794.0,2
temporal_external_2025_2026,0,ridge_google_wiki,1,0.2665613504418631,0.43733130503353124,0.6565577150058952,0.8924216382585902,0.8667416021977421,0.3863745787193067,0.7102070293692826,0.9041526239768898,0.4838357740379938,0.9713123732074175,1.9669320356066753,794.0,2
temporal_external_2025_2026,0,ridge_google_wiki,2,0.4498295039011493,0.7492044895964926,1.055556000330798,0.718098856390321,0.7426291021661549,0.4014564275397208,0.6419715936446798,0.840081848820414,0.9426437223112079,1.5722546781690576,2.9854049390510444,794.0,2
temporal_external_2025_2026,0,ridge_google_wiki,3,0.5030459088373267,0.8828214435131455,1.1485225958564735,0.658103144979856,0.6894408655925759,0.4278767453057294,0.6225565719788156,0.8448603755416466,1.2752141947619187,1.941086908911907,3.455847527011253,794.0,2
temporal_external_2025_2026,0,ridge_google_wiki,4,0.5323584521695989,0.9571104751132944,1.2148928613102945,0.6119615455029506,0.6684936130791495,0.4189215214251324,0.6297183437650458,0.8393355801636977,1.4474160870999708,2.1404705722217097,3.71249558267707,794.0,2
temporal_external_2025_2026,0,ridge_no_digital,1,0.22559633301835053,0.37460360267625537,0.5557370717528213,0.9231545730073665,0.8841914104383573,0.42684159845931635,0.7805368319691863,0.9286350505536831,0.44818930084832087,0.9319924062514955,2.1327410746357565,794.0,2
temporal_external_2025_2026,0,ridge_no_digital,2,0.3865136717718145,0.6496689886529808,0.9055332304612165,0.7869824592636131,0.7540116289458132,0.4237120847376023,0.6843644679826673,0.8699446316803081,0.8825743121845789,1.498644557198189,3.0669516534215804,794.0,2
temporal_external_2025_2026,0,ridge_no_digital,3,0.455873065251013,0.8014459762612923,1.0742789829303998,0.6827403537169712,0.7068788489243794,0.41639383726528645,0.6886976408281175,0.8750240731824748,1.1793187298320382,1.8710254116655025,3.5948643583505024,794.0,2
temporal_external_2025_2026,0,ridge_no_digital,4,0.49602001740966656,0.8887979768566299,1.166790776353008,0.6152306448829008,0.6936963113363481,0.40639142994703903,0.6912373615792007,0.8833895040924411,1.3304575210043832,2.0336804815000917,3.865558499248988,794.0,2
temporal_external_2025_2026,0,ridge_raw_cn_search,1,0.21297140320476649,0.3355136784826722,0.5206915167581984,0.9291365622149248,0.890245987213585,0.5034545016851228,0.7805368319691863,0.9326673086181994,0.44994939383006183,0.9105786744616687,2.3449229454309384,794.0,2
temporal_external_2025_2026,0,ridge_raw_cn_search,2,0.3460907355233996,0.569928277164146,0.8212949767931343,0.8150690062909192,0.8023764877121538,0.4600024073182475,0.7529128550794415,0.9062349542609534,0.8202583494987948,1.4502350017055525,2.9768243242968135,794.0,2
temporal_external_2025_2026,0,ridge_raw_cn_search,3,0.4144410303090299,0.7066880471168827,0.9897527900882139,0.700912319730671,0.7486468574381104,0.45268415984593163,0.7451492537313433,0.8951853635050553,1.0663132097704315,1.7063503762657184,3.3572558848228917,794.0,2
temporal_external_2025_2026,0,ridge_raw_cn_search,4,0.4529337033049291,0.7811922167324572,1.0742112110507165,0.6322223998307734,0.6879802169464373,0.5071978815599423,0.7718825228695233,0.8995185363505056,1.383598032644142,2.039914218664155,3.7360040677621837,794.0,2
temporal_external_2025_2026,0,ridge_social_raw,1,0.24926649500352405,0.42474920075414757,0.5896641673865073,0.9226685366175643,0.8911742059608214,0.3789239287433799,0.6981222917669716,0.9302840635532017,0.5457115194274746,1.0281312802590552,2.388021587493957,794.0,2
