evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.027406707054769802,-0.06402558119859837,0.01814599884871739,0.8265,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,persistence,4,-0.1975489690210166,-0.30863944738792964,-0.0915682680174962,1.0,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,persistence,8,-0.1975489690210166,-0.33306375235816577,-0.06869072544301537,0.9995,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,persistence,13,-0.1975489690210166,-0.3461169459353753,-0.056578119582507774,0.999,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.006482612922025908,-0.08514645744268802,0.08677101213311966,0.48,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.006482612922025908,-0.06419131326034937,0.08091986184478615,0.391,196
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.006482612922025908,-0.04515466581006316,0.07344480849316842,0.3605,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,4,-0.017168235703849438,-0.0429581284663994,0.004756134440216055,0.9405,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.017168235703849438,-0.043494680901847535,0.009157908038635695,0.886,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,13,-0.017168235703849438,-0.044355818870884155,0.016242639610921854,0.772,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,4,-0.01726917739655134,-0.04953945307435307,0.024924175523989667,0.794,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,8,-0.01726917739655134,-0.04497624304762377,0.025773539817412275,0.7045,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_full_raw,13,-0.01726917739655134,-0.04285512430288121,0.023685362923176887,0.697,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,persistence,4,-0.22024846465271486,-0.33176958633867565,-0.10374090114570653,1.0,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,persistence,8,-0.22024846465271486,-0.363252547920232,-0.07886580791548868,1.0,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,persistence,13,-0.22024846465271486,-0.3860292369656306,-0.05906364950176434,0.9995,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,gb_full_raw,4,-0.009869306012802092,-0.10062408948099585,0.09038334614224303,0.5145,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,gb_full_raw,8,-0.009869306012802092,-0.07607636001701616,0.09241887794999092,0.4405,196
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,gb_full_raw,13,-0.009869306012802092,-0.07366727471182483,0.09652553719048314,0.4155,196
