evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,13,-0.01327049207282823,-0.030593808529648263,0.0012635624882429651,0.9685,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,4,-0.018118914530978244,-0.0456212546267695,0.004391521230590009,0.944,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,8,-0.018118914530978244,-0.051033964705608933,0.0059852326662501384,0.9295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__base_only,13,-0.018118914530978244,-0.0502220422349993,0.012442561009884725,0.8295,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,4,0.0017291187761360434,0.0,0.00518735632840813,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,8,0.0017291187761360434,0.0,0.00518735632840813,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_china_local_search,13,0.0017291187761360434,0.0,0.00518735632840813,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,4,0.010624626563228995,0.002543130324794582,0.025285960190586692,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,8,0.010624626563228995,0.001910792804162166,0.024863147943815004,0.0015,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_full_lstm_expert,13,0.010624626563228995,0.0017913298110478302,0.02546320400062564,0.003,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,4,-0.0009915693616734326,-0.005612639207340424,0.002121103993498359,0.7175,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,8,-0.0009915693616734326,-0.004796069947479362,0.002577654117133172,0.5305,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_google_wiki,13,-0.0009915693616734326,-0.002416430836675242,0.0026320409889172606,0.361,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,4,-0.013641904348991684,-0.03007104791341929,-0.001382604122293518,0.9885,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,8,-0.013641904348991684,-0.034021350203276166,-0.0018681634968091194,0.9925,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_gradient_boosting,13,-0.013641904348991684,-0.03568643863360173,-0.0030517145548587085,1.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,4,0.0003016329321117626,0.0,0.0008399989917504105,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,8,0.0003016329321117626,0.0,0.0009367008777331396,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_social,13,0.0003016329321117626,0.0,0.0009261354109998162,0.0,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,4,0.0017772140936329745,-0.003512761844433106,0.007012015752934073,0.262,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,8,0.0017772140936329745,-0.0031909985452745464,0.0076430278294806996,0.145,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_common_scale__no_source_specific_ridge,13,0.0017772140936329745,-0.0005351927981862567,0.008369130637285522,0.0445,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,4,-0.011761431861130033,-0.03464544757008058,0.009179381574615935,0.881,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,8,-0.011761431861130033,-0.03490359957415248,0.012044196107438376,0.836,196
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_safe_lstm_static_blend,13,-0.011761431861130033,-0.031806983058073376,0.014821904252029826,0.804,196
