evaluation,official_delay_weeks,model,horizon,country,region,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs3,67.0,0.22840063751685183,0.3873136012265804,0.6089141333134669,0.8609126806092059,0.9365871178865035,0.3582089552238806,0.6716417910447762,0.8805970149253731,0.4137295729303372,0.8115096530179308,1.2348531926891748
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs4,67.0,0.24532012864610298,0.4127045254631098,0.6632848642865438,0.845223709980881,0.9163141511692874,0.5074626865671642,0.6567164179104478,0.835820895522388,0.47071551938814704,0.8710469555279886,1.3728366995770904
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs5,67.0,0.4555639728913125,0.6436321211465618,1.0379443149959289,0.8104543037328407,0.9193471146939103,0.2835820895522388,0.5223880597014925,0.6567164179104478,0.36676472523797193,0.7627997452998286,1.3316592545623878
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs6,67.0,0.20013966399843833,0.3669357575022509,0.5389775078106328,0.8255532048448649,0.9044217415595818,0.5074626865671642,0.7910447761194029,0.8805970149253731,0.5524956284499424,0.9925502191101162,1.4623148157817392
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs7,67.0,0.30879364289589023,0.4479950418239138,0.7685756690106642,0.8036454848107248,0.918908133131136,0.44776119402985076,0.6567164179104478,0.7761194029850746,0.3004163044691626,0.6665736653192667,1.1592026380693468
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs8,67.0,0.22841654754086174,0.37074367052998514,0.6024819799831483,0.8374162700038196,0.9365472104717057,0.4626865671641791,0.6567164179104478,0.7611940298507462,0.3806508990161491,0.728743123790903,1.155853703094702
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,3,USA,hhs9,67.0,0.1754374911926275,0.31959773652174883,0.46239080547898714,0.9263083007843284,0.9602522148615212,0.34328358208955223,0.7014925373134329,0.9253731343283582,0.3657321895868015,0.7675724836699277,1.3780346577639564
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,CHN,northern_provinces,62.0,0.4719863890726933,0.718999608128592,1.1935891812729467,0.541377544442107,0.7539780956783783,0.43548387096774194,0.7903225806451613,0.8548387096774194,0.9616431630099522,2.0057559496397275,3.1089063243546833
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,CHN,southern_provinces,62.0,0.4104177278402464,0.6259898492792779,1.0208741405474204,0.5863027177824625,0.7653203585982246,0.6451612903225806,0.8709677419354839,0.9032258064516129,1.2913783884758028,2.0534559419843554,3.309686786266096
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs1,67.0,0.6398383119086187,0.870810819212263,1.5095274720168215,0.6597116512006471,0.9074547050842048,0.34328358208955223,0.4925373134328358,0.6567164179104478,0.4555875331134883,0.9213823377347672,1.6237236965259103
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs10,67.0,0.405070978719366,0.6631110668805197,0.9985431965549691,0.7717180589887691,0.9086519275281348,0.29850746268656714,0.5373134328358209,1.0,0.47263223057970427,0.8956640808674338,5.761490604615823
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs2,67.0,0.3960084003019359,0.5805771152091663,1.073397128559591,0.7011856917910214,0.913321095059462,0.5223880597014925,0.6865671641791045,0.8507462686567164,0.5645881360692713,0.8882181959639083,1.8181777584531484
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs3,67.0,0.2525114038590012,0.4411092926353432,0.6684462506140869,0.8279278331248231,0.9195466517678986,0.34328358208955223,0.6119402985074627,0.8656716417910447,0.49346291789304286,0.9141880025558634,1.5246389931796684
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs4,67.0,0.2656637460753022,0.4685794381081937,0.7087815501912895,0.8133008812763947,0.886184052997047,0.5223880597014925,0.7014925373134329,0.9253731343283582,0.6334156312689693,1.1790479842827306,1.979196122223296
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs5,67.0,0.5031058725534744,0.7781561247047512,1.1983991576390882,0.737183350155182,0.8851863676271052,0.16417910447761194,0.4626865671641791,0.8656716417910447,0.44293997196834817,0.8705105046601808,2.941555597058042
temporal_external_2025_2026,0,bioepi_sgq_lstm_full_raw,4,USA,hhs6,67.0,0.2045759686091981,0.3736731134998151,0.528355772899667,0.8224471778275926,0.8890972942772768,0.5970149253731343,0.7910447761194029,0.9552238805970149,0.7239695728009873,1.1954147926927639,1.7658011036298034
