evaluation,official_delay_weeks,model,horizon,country,n,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95
temporal_external_2025_2026,0,persistence,3,USA,670.0,0.44990759444415634,0.6803927277259483,1.0795774617613492,0.7318185193940829,0.8799625072727691,0.35074626865671643,0.6522388059701493,0.917910447761194,0.4231373621503177,1.2390679868734993,3.9070381280543227
temporal_external_2025_2026,0,persistence,4,CHN,124.0,0.551426049345322,0.8025055263689344,1.3582795786268391,0.39068973503385607,0.5740175226183881,0.5564516129032258,0.7661290322580645,0.8709677419354839,0.7377222314595222,1.6737753115711402,4.4506082081130955
temporal_external_2025_2026,0,persistence,4,USA,670.0,0.5266260746194038,0.8087378744611564,1.2485491321153672,0.6396832613397527,0.82010796365356,0.3402985074626866,0.6582089552238806,0.9134328358208955,0.5234104707035705,1.552814510192652,4.10252214146296
temporal_external_2025_2026,0,ridge_global_open,1,CHN,124.0,0.3137194452114851,0.5509345542798118,0.7638657085995647,0.854737826162209,0.7594888813697249,0.3548387096774194,0.6935483870967742,0.9112903225806451,0.7166116601522698,1.2784660641868615,2.028967955892253
temporal_external_2025_2026,0,ridge_global_open,1,USA,670.0,0.22959143018784944,0.3431692448593326,0.5510681553635256,0.9264931043519485,0.9653786163978713,0.35522388059701493,0.6447761194029851,0.8940298507462686,0.2567063680101905,0.6558447797075924,1.840882070757663
temporal_external_2025_2026,0,ridge_global_open,2,CHN,124.0,0.5899413143096878,1.0425193449519057,1.3385546912703863,0.5909103110384288,0.5425686128532173,0.3790322580645161,0.6048387096774194,0.7741935483870968,1.5165190450241022,2.280418231712329,3.0832719335745793
temporal_external_2025_2026,0,ridge_global_open,2,USA,670.0,0.45458242721917536,0.6421686393722729,0.9438978187435596,0.8003630631246293,0.9090424921232656,0.3522388059701492,0.5402985074626866,0.7686567164179104,0.364138727082611,0.8574202128215697,2.814737332098858
temporal_external_2025_2026,0,ridge_global_open,3,CHN,124.0,0.6449847093806954,1.2267824642724157,1.397410855939575,0.5367681791552881,0.4676543510807352,0.3870967741935484,0.5645161290322581,0.782258064516129,2.0291434645077002,2.8343198630834503,3.775608845736222
temporal_external_2025_2026,0,ridge_global_open,3,USA,670.0,0.627773049190383,0.8669578876013572,1.2401108225896487,0.6916174204255693,0.8504975008007153,0.3970149253731343,0.5134328358208955,0.6880597014925374,0.5522352772670225,1.0793640144442895,3.0556243579099176
temporal_external_2025_2026,0,ridge_global_open,4,CHN,124.0,0.6868036141539815,1.3322147052395055,1.4917525387246762,0.4701314895209288,0.4528481719090518,0.3870967741935484,0.5564516129032258,0.7741935483870968,2.2864514524849047,3.023679053310363,4.3434831611191935
temporal_external_2025_2026,0,ridge_global_open,4,USA,670.0,0.622525108909718,0.8761706311109074,1.2459869360497375,0.6656433975859836,0.8228379863927773,0.36716417910447763,0.5492537313432836,0.7089552238805971,0.5862074571026221,1.2691716336534842,3.067166813484356
temporal_external_2025_2026,0,ridge_google_wiki,1,CHN,124.0,0.3137194452114851,0.5509345542798118,0.7638657085995647,0.854737826162209,0.7594888813697249,0.3548387096774194,0.6935483870967742,0.9112903225806451,0.7166116601522698,1.2784660641868615,2.028967955892253
temporal_external_2025_2026,0,ridge_google_wiki,1,USA,670.0,0.21940325567224103,0.32372805578725067,0.5492497214122256,0.9301054503549715,0.9739943230257593,0.417910447761194,0.7268656716417911,0.8970149253731343,0.25105988792371786,0.6641586822279735,1.9048961153210973
temporal_external_2025_2026,0,ridge_google_wiki,2,CHN,124.0,0.5899413143096878,1.0425193449519057,1.3385546912703863,0.5909103110384288,0.5425686128532173,0.3790322580645161,0.6048387096774194,0.7741935483870968,1.5165190450241022,2.280418231712329,3.0832719335745793
temporal_external_2025_2026,0,ridge_google_wiki,2,USA,670.0,0.30971769349261086,0.4558896342410795,0.7725573093912096,0.8452874017422131,0.9426895914790924,0.42388059701492536,0.6791044776119403,0.9059701492537313,0.3687683995983135,0.8640911246257863,2.8875379445275096
temporal_external_2025_2026,0,ridge_google_wiki,3,CHN,124.0,0.6449847093806954,1.2267824642724157,1.397410855939575,0.5367681791552881,0.4676543510807352,0.3870967741935484,0.5645161290322581,0.782258064516129,2.0291434645077002,2.8343198630834503,3.775608845736222
